Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 persons","564192.113","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1950","1950","1000 persons","292762.57","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1950","1950","1000 persons","271429.529","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1950","1950","1000 persons","494858.04","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1950","1950","1000 persons","69355.076","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 persons","580098.002","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1951","1951","1000 persons","300803.781","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1951","1951","1000 persons","279294.211","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1951","1951","1000 persons","506220.523","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1951","1951","1000 persons","73547.418","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 persons","593178.667","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1952","1952","1000 persons","307382.851","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1952","1952","1000 persons","285795.81","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1952","1952","1000 persons","514972.372","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1952","1952","1000 persons","77582.238","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 persons","604381.307","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1953","1953","1000 persons","312981.216","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1953","1953","1000 persons","291400.109","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1953","1953","1000 persons","521932.196","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1953","1953","1000 persons","81539.326","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 persons","614483.582","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1954","1954","1000 persons","317995.968","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1954","1954","1000 persons","296487.615","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1954","1954","1000 persons","527755.394","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1954","1954","1000 persons","85510.962","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 persons","624093.644","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1955","1955","1000 persons","322739.83","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1955","1955","1000 persons","301353.817","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1955","1955","1000 persons","532969.454","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1955","1955","1000 persons","89566.689","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 persons","633643.101","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1956","1956","1000 persons","327437.856","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1956","1956","1000 persons","306205.232","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1956","1956","1000 persons","537951.184","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1956","1956","1000 persons","93770.249","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","643393.957","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1957","1957","1000 persons","332230.714","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1957","1957","1000 persons","311163.245","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1957","1957","1000 persons","542957.257","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1957","1957","1000 persons","98154.803","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","653458.652","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1958","1958","1000 persons","337184.438","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1958","1958","1000 persons","316274.225","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1958","1958","1000 persons","548102.044","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1958","1958","1000 persons","102761.595","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","663833.341","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1959","1959","1000 persons","342306.79","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1959","1959","1000 persons","321526.547","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1959","1959","1000 persons","553422.644","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1959","1959","1000 persons","107602.356","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 persons","674498.047","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1960","1960","1000 persons","347596.201","A","Aggregate, may include official, semi-official, estimated or calculated data",""
